id,title,type,release_year,age_certification,runtime,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,genres1,genres2,genres3,genres4,genres5,genres6,genres7,genres8,genres9
tm519819,Road to the Lemon Grove,MOVIE,2021,,88,['CA'],,tt4592550,6.1,107,1.936,,'drama', 'comedy',,,,,,,
tm1078968,The Thing Inside Us,MOVIE,2021,,83,[],,tt15033924,3.5,198,0.996,5,'horror', 'scifi', 'thriller',,,,,,
ts346110,Cosmic Love,SHOW,2022,TV-MA,54,['US'],1,tt19896302,3.8,206,10.919,3.5,'reality',,,,,,,,
ts259624,Shadow Society,SHOW,2021,,30,['US'],1,tt13122812,7,15,,,'scifi', 'thriller',,,,,,,
tm1148344,Beat,MOVIE,2022,,101,['AU'],,tt14069086,8.2,66,1.4,,'thriller', 'drama',,,,,,,
ts276453,"Yosi, the Regretful Spy",SHOW,2022,TV-MA,46,['AR'],2,tt13587032,7.7,881,23.371,7.636,'thriller', 'drama', 'history',,,,,,
ts285371,Mixte,SHOW,2021,,38,['FR'],1,tt11243112,7.9,1394,8.314,7.5,'drama', 'comedy',,,,,,,
tm918814,Phone Bhoot,MOVIE,2022,,137,['IN'],,tt12740760,5.4,10208,6.917,5.6,'horror', 'comedy',,,,,,,
tm515171,Unicorn Town,MOVIE,2022,,86,"['US', 'DE']",,tt7379552,8.2,159,4.013,,'documentation', 'sport', 'drama', 'european',,,,,
ts287503,DOM,SHOW,2021,,57,['BR'],2,,,,16.672,7.6,'drama',,,,,,,,
tm928755,Little Orphans,MOVIE,2021,,79,['CA'],,tt10234084,4.2,67,0.745,3,'drama',,,,,,,,
tm416102,Big Legend,MOVIE,2021,,89,['US'],,tt6409762,4.7,2907,13.065,6.3,'action', 'thriller', 'horror',,,,,,
tm847194,Effigy: Poison and the City,MOVIE,2022,PG-13,85,"['DE', 'US']",,tt9075008,7.7,404,0.622,,'thriller', 'history', 'crime',,,,,,
tm1278108,This Is Christmas,MOVIE,2022,,106,['GB'],,tt22302170,6.9,1448,4.017,6,'romance', 'comedy', 'drama',,,,,,
tm825274,Honeydew,MOVIE,2021,R,106,['US'],,tt10734864,4.4,2188,4.252,5,'horror', 'thriller',,,,,,,
tm879906,Escape Through Africa,MOVIE,2022,PG,90,[],,tt2218324,4,208,6.209,6.3,'action',,,,,,,,
tm1147816,The Way,MOVIE,2021,R,90,[],,tt13871364,4.4,119,1.844,4.5,'action', 'drama',,,,,,,
tm820937,Howl from Beyond the Fog,MOVIE,2021,,35,['JP'],,tt12020368,6.5,180,1.025,7,'fantasy', 'animation', 'scifi',,,,,,
tm1215683,Delusional,MOVIE,2022,R,113,[],,tt9652550,5.1,110,2.905,2,'thriller',,,,,,,,
tm950313,Faraway Eyes,MOVIE,2021,R,121,['US'],,tt7401840,5,1057,8.644,5.5,'comedy', 'fantasy', 'romance',,,,,,
ts371540,Good Rivals,SHOW,2022,TV-14,55,['US'],1,tt23271056,7.1,79,4.251,5.7,'documentation', 'sport',,,,,,,
tm1034616,All About Sex,MOVIE,2021,,75,['US'],,tt9730822,4.8,302,28.542,6.4,'drama', 'comedy',,,,,,,
ts273461,Word of Honor,SHOW,2021,TV-14,43,['CN'],1,tt12458172,8.5,3225,23.297,8.5,'drama', 'action', 'scifi', 'history', 'romance', 'fantasy',,,
ts287720,Panic,SHOW,2021,TV-14,44,['US'],1,tt10344410,6.5,8684,12.635,7.313,'action', 'crime', 'drama', 'thriller',,,,,
tm825596,Because We Are,MOVIE,2021,,73,['CA'],,tt10692368,,,0.904,,'thriller', 'drama',,,,,,,
ts314836,"Miskina, la pauvre",SHOW,2022,,29,['FR'],1,tt21941802,6.1,127,2.821,6.4,'comedy',,,,,,,,
tm1195825,Quintessentially British,MOVIE,2022,,97,['GB'],,tt19586932,5.6,41,3.234,3.2,'documentation',,,,,,,,
tm998280,Death Trip,MOVIE,2021,,101,['CA'],,tt13223274,2.8,280,2.774,5.2,'horror', 'thriller',,,,,,,
tm1022146,My True Fairytale,MOVIE,2021,,86,['US'],,tt10192704,5.8,4361,2.633,7.2,'drama', 'thriller',,,,,,,
tm516639,Bite Me,MOVIE,2022,,83,['US'],,tt7201818,5.6,204,2.029,5.3,'comedy', 'romance',,,,,,,
tm1261499,Drishyam 2,MOVIE,2022,,142,['IN'],,tt15501640,8.3,33103,13.68,7.7,'thriller', 'drama', 'crime',,,,,,
ts296937,With Love,SHOW,2021,TV-14,49,['US'],1,tt14734228,7.2,2080,5.583,5.8,'comedy', 'romance',,,,,,,
tm894702,Mendarat Darurat,MOVIE,2022,,113,['ID'],,tt21308010,6.1,133,2.418,7.8,'comedy', 'romance',,,,,,,
tm992435,Bliss,MOVIE,2021,R,103,['US'],,tt10333426,5.3,18604,12.359,5.5,'drama', 'scifi', 'romance',,,,,,
tm863338,Adventures of a Mathematician,MOVIE,2021,,102,"['GB', 'DE', 'PL']",,tt6875374,5.6,542,8.929,6.2,'drama', 'history',,,,,,,
tm983712,How It Ends,MOVIE,2021,R,83,['US'],,tt13648228,5.2,3468,9.71,5.1,'comedy', 'drama',,,,,,,
tm1164607,FIR,MOVIE,2022,,156,['IN'],,tt11468258,6.9,4440,4.857,5.714,'thriller', 'action',,,,,,,
tm562587,Joe Bell,MOVIE,2021,R,94,['US'],,tt10165206,6.2,8091,13.035,6.6,'drama', 'action',,,,,,,
